1,"t","Honey Final Estimates 1998-2002: Released April 29, 2004, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
1,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
1,"t","and Value by State and United States,  1998 1/"
1,"h","","","","","","",""
1,"h","","Honey","Yield","","","Average","Value"
1,"h","State","Producing","per","Production","Stocks","Price per","of"
1,"h","","Colonies","Colony","","Dec 15 2/","Pound","Production"
1,"h","","","","","","",""
1,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
1,"d","AL",16,71,1136,159,72,818
1,"d","AZ",55,60,3300,1485,64,2112
1,"d","AR",53,65,3445,1688,59,2033
1,"d","CA",450,83,37350,12326,62,23157
1,"d","CO",27,72,1944,1594,70,1361
1,"d","FL",230,98,22540,4508,64,14426
1,"d","GA",75,56,4200,307,69,2898
1,"d","HI",8,118,944,66,77,727
1,"d","ID",120,50,6000,2220,65,3900
1,"d","IL",9,71,639,204,119,760
1,"d","IN",9,92,828,489,85,704
1,"d","IA",50,78,3900,2301,70,2730
1,"d","KS",16,46,736,390,87,640
1,"d","KY",3,50,150,51,140,210
1,"d","LA",41,111,4551,865,59,2685
1,"d","ME",10,26,260,117,69,179
1,"d","MD",7,44,308,92,110,339
1,"d","MI",80,85,6800,3672,66,4488
1,"d","MN",140,79,11060,2765,65,7189
1,"d","MS",18,86,1548,898,58,898
1,"d","MO",23,66,1518,455,76,1154
1,"d","MT",115,122,14030,5472,64,8979
1,"d","NE",64,70,4480,2240,86,3853
1,"d","NV",10,46,460,175,165,759
1,"d","NJ",11,49,539,167,76,410
1,"d","NM",14,55,770,470,76,585
1,"d","NY",65,80,5200,2444,70,3640
1,"d","NC",8,59,472,151,138,651
1,"d","ND",230,128,29440,8832,63,18547
1,"d","OH",18,78,1404,702,83,1165
1,"d","OK",4,51,204,63,124,253
1,"d","OR",50,45,2250,1620,90,2025
1,"d","PA",26,66,1716,789,80,1373
1,"d","SD",225,95,21375,10901,64,13680
1,"d","TN",7,64,448,121,132,591
1,"d","TX",91,77,7007,1612,62,4344
1,"d","UT",30,58,1740,557,65,1131
1,"d","VT",6,64,384,207,85,326
1,"d","VA",8,37,296,86,133,394
1,"d","WA",58,51,2958,1361,64,1893
1,"d","WV",6,55,330,155,114,376
1,"d","WI",89,91,8099,5264,72,5831
1,"d","WY",46,60,2760,524,68,1877
1,"d","",,,,,,
1,"d","Oth",,,,,,
1,"d"," Sts 3/",16,63,1008,342,137,1377
1,"d","",,,,,,
1,"d","US 4/",2637,84,220527,80907,66,147468
1,"c",""
1,"f","1/  For producers with 5 or more colonies.  2/  Stocks held by producers.   3/  CT, DE, MA, NH, RI, and SC not published separately to avoid disclosing data for individual operations.  4/  U.S. price weighted by survey expanded sales.  Total may not add due to rounding."
