3,"t","Honey Final Estimates 1998-2002: Released April 29, 2004, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
3,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
3,"t","and Value by State and United States, 2000 1/"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","Producing","per","Production","Stocks","Price per","of"
3,"h","","Colonies","Colony","","Dec 15 2/","Pound","Production"
3,"h","","","","","","",""
3,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
3,"d","AL",16,78,1248,187,59,736
3,"d","AZ",40,59,2360,1322,73,1723
3,"d","AR",52,93,4836,3337,57,2757
3,"d","CA",440,70,30800,11396,59,18172
3,"d","CO",29,60,1740,957,62,1079
3,"d","FL",232,105,24360,2923,54,13154
3,"d","GA",55,57,3135,376,63,1975
3,"d","HI",7,112,784,125,82,643
3,"d","ID",100,47,4700,2679,52,2444
3,"d","IL",8,61,488,146,117,571
3,"d","IN",8,65,520,286,103,536
3,"d","IA",30,67,2010,1206,68,1367
3,"d","KS",15,68,1020,520,91,928
3,"d","KY",4,48,192,54,135,259
3,"d","LA",43,94,4042,1334,52,2102
3,"d","ME",11,21,231,143,75,173
3,"d","MD",6,46,276,52,114,315
3,"d","MI",72,75,5400,2970,60,3240
3,"d","MN",150,90,13500,3105,57,7695
3,"d","MS",17,72,1224,649,69,845
3,"d","MO",23,75,1725,362,60,1035
3,"d","MT",124,88,10912,4692,59,6438
3,"d","NE",50,87,4350,2610,59,2567
3,"d","NV",10,35,350,95,145,508
3,"d","NJ",11,35,385,200,61,235
3,"d","NM",15,64,960,739,72,691
3,"d","NY",58,80,4640,2274,55,2552
3,"d","NC",11,49,539,243,143,771
3,"d","ND",300,115,34500,13800,57,19665
3,"d","OH",18,65,1170,585,79,924
3,"d","OK",7,35,245,64,126,309
3,"d","OR",48,51,2448,1665,66,1616
3,"d","PA",25,45,1125,630,76,855
3,"d","SD",235,121,28435,12796,58,16492
3,"d","TN",9,61,549,104,143,785
3,"d","TX",105,79,8295,2986,57,4728
3,"d","UT",24,41,984,462,60,590
3,"d","VT",7,59,413,211,68,281
3,"d","VA",7,42,294,103,150,441
3,"d","WA",52,54,2808,1151,58,1629
3,"d","WV",7,54,378,234,122,461
3,"d","WI",84,90,7560,4385,68,5141
3,"d","WY",39,93,3627,798,59,2140
3,"d","",,,,,,
3,"d","Oth",,,,,,
3,"d"," Sts 3/",18,40,728,288,178,1297
3,"d","",,,,,,
3,"d","US 4/",2622,84,220286,85244,60,132865
3,"c",""
3,"f","1/  For producers with 5 or more colonies.  2/  Stocks held by producers.   3/  CT, DE, MA, NH, RI, and SC not published separately to avoid disclosing data for individual operations.  4/  U.S. price weighted by survey expanded sales.  Total may not add due to rounding."
